Date,Week,PlanWeekly_%,PlanCumPct_%,ActualWeekly_%,ActualCumPct_%,DeviationPct,Remarks
2026-04-19,W#1,0.405,0.405,0.405,0.405,0.0,
2026-04-26,W#2,1.093,1.498,1.216,1.621,0.123,
2026-05-03,W#3,1.093,2.591,1.657,3.278,0.687,
2026-05-10,W#4,1.093,3.684,1.149,4.427,0.743,
2026-05-17,W#5,1.093,4.777,3.03,7.457,2.68,
2026-05-24,W#6,1.093,5.87,3.029,10.486,4.616,
2026-05-31,W#7,1.093,6.963,1.995,12.481,5.518,
2026-06-07,W#8,1.725,8.688,3.507,15.988,7.3,
2026-06-14,W#9,2.771,11.459,2.994,18.982,7.523,Latest reported progress — Ahead of Schedule
2026-06-21,W#10,3.702,15.161,,,,
2026-06-28,W#11,5.745,20.906,,,,
2026-07-05,W#12,6.707,27.613,,,,
2026-07-12,W#13,6.697,34.31,,,,
2026-07-19,W#14,6.689,40.999,,,,
2026-07-26,W#15,6.678,47.677,,,,
2026-08-02,W#16,6.726,54.403,,,,
2026-08-09,W#17,6.451,60.854,,,,
2026-08-16,W#18,6.258,67.112,,,,
2026-08-23,W#19,5.661,72.773,,,,
2026-08-30,W#20,4.64,77.413,,,,
2026-09-06,W#21,3.239,80.652,,,,
2026-09-13,W#22,3.207,83.859,,,,
2026-09-20,W#23,2.911,86.77,,,,
2026-09-27,W#24,2.85,89.62,,,,
2026-10-04,W#25,2.811,92.431,,,,
