No,Date,HSE,K2,Tim Besi,Tim Baja,Tim Begisting,Tim Bobok,Tim Cor,Total,Manhours
1.0,2026-07-01,22.0,27.0,732.0,35.0,435.0,0.0,90.0,1341,21456
2,2026-07-02,22.0,27.0,693.0,35.0,482.0,0.0,90.0,1349,21584
3,2026-07-03,23.0,27.0,681.0,35.0,489.0,0.0,90.0,1345,21520
4,2026-07-04,23.0,27.0,675.0,35.0,499.0,0.0,90.0,1349,21584
5,2026-07-05,24.0,27.0,662.0,35.0,517.0,0.0,90.0,1355,21680
6,2026-07-06,24.0,27.0,651.0,35.0,559.0,0.0,90.0,1386,22176
7,2026-07-07,24.0,27.0,610.0,35.0,597.0,0.0,90.0,1383,22128
8,2026-07-08,24.0,27.0,574.0,35.0,618.0,0.0,90.0,1368,21888
9,2026-07-09,24,27.0,574.0,35.0,635.0,0.0,90.0,1385,22160
10,2026-07-10,24.0,27.0,574.0,35.0,647.0,0.0,90.0,1397,22352
11,2026-07-11,24.0,27.0,574.0,35.0,648.0,0,90.0,1398,22368
12,2026-07-12,24.0,27.0,574.0,35.0,621.0,0.0,90.0,1371,21936
13,2026-07-13,24,27.0,574.0,35.0,621.0,0,90.0,1371,21936
14,2026-07-14,24.0,31.0,575.0,35.0,592.0,0.0,100.0,1357,21712
15,2026-07-15,24.0,31.0,575.0,35.0,605.0,0,100.0,1370,21920
16,2026-07-16,24.0,31.0,446.0,35.0,577.0,0.0,100.0,1213,19408
17,2026-07-17,24,31.0,446.0,35.0,554.0,0.0,100.0,1190,19040
18,2026-07-18,24.0,31.0,447.0,35.0,529.0,0.0,100.0,1166,18656
19,2026-07-19,24.0,31.0,432.0,35.0,550.0,0.0,95.0,1167,18672
20,2026-07-20,24.0,31.0,463,35.0,567.0,0.0,90.0,1210,19360
21,2026-07-21,24,31.0,455.0,35.0,587.0,0.0,90.0,1222,19552
22,2026-07-22,24.0,31.0,456.0,35.0,602.0,0.0,90.0,1238,19808
